LabelName,DisplayName
/m/01g317,Person
/m/0199g,Car
/m/07r04,Truck
/m/01bjv,Bus
/m/04_sv,Motorcycle
/m/0k4j,Bicycle
/m/019jd,Boat
/m/0cmf2,Airplane
/m/07jdr,Train
/m/01mqdt,Traffic light
/m/01pns0,Fire hydrant
/m/02pv19,Stop sign
/m/0cvnqh,Bench
/m/01940j,Backpack
/m/0hnnb,Umbrella
/m/080hkjn,Handbag
/m/01s55n,Suitcase
/m/04dr76w,Bottle
/m/01mzpv,Chair
/m/02crq1,Couch
/m/03ssj5,Bed
/m/09g_k,Toilet
/m/07c52,Television
/m/01c648,Laptop
/m/050k8,Mobile phone
/m/015qff,Dog
/m/01yrx,Cat
/m/03k3r,Horse
/m/015p6,Bird
